pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
pub_destree_2014_plato_er__pub_destree_salles_zingano_2014_what_is_up_to_us,publication,pub_destree_2014_plato_er,Comment être responsable de son destin? Platon et le mythe d'Er,pub_destree_salles_zingano_2014_what_is_up_to_us,"Destrée, Salles & Zingano (eds.), What is Up to Us? Studies on Agency and Responsibility in Ancient Philosophy (2014)",0.04,0.83,<=0.3,pub_destree_salles_zingano_2014_what_is_up_to_us,description_token_overlap,"Chapter by Pierre Destrée in P. Destrée, R. Salles & M. Zingano (eds.), 'What is Up to Us? Studies on Agency and Responsibility in Ancient Philosophy' (Sankt Augustin: Academia Verlag, 2014). Destrée ","Edited by Pierre Destrée, Ricardo Salles and Marco Zingano, this 2014 Academia Verlag volume contains an introduction and twenty-two studies of agency and responsibility from Democritus to Simplicius."
sc507_iustinus_apologia_i__work_justin_first_apology,work,sc507_iustinus_apologia_i,"Iustinus, Apologia I",work_justin_first_apology,First Apology (Ἀπολογία πρώτη),0.85,0.82,0.7-0.9,sc507_iustinus_apologia_i,description_token_overlap,"Justin Martyr, *First Apology* (Ἀπολογία πρώτη), addressed to Antoninus Pius, Marcus Aurelius and Lucius Verus c. 153-155 CE in Rome. Here Justin offers a rational defence of Christianity against the ","Justin Martyr's First Apology (c. 155 CE), addressed to Emperor Antoninus Pius, is an apologetic treatise whose chapters 43–44 form the philosophical centerpiece on free will and constitute what is of"
pub_sharples_1982_providence__pub_sharples_2008_accident_determinisme,publication,pub_sharples_1982_providence,Alexander of Aphrodisias on Divine Providence: Two Problems,pub_sharples_2008_accident_determinisme,L'accident du déterminisme,0.1,0.82,<=0.3,pub_sharples_2008_accident_determinisme,description_token_overlap,"R.W. Sharples, ""Alexander of Aphrodisias on Divine Providence: Two Problems,"" Classical Quarterly 32.1 (1982): 198-211. MAIN ARGUMENT: Sharples argues that Alexander's position on providence represent","Sharples, R.W. (2008). ""L'accident du déterminisme."" Les Études philosophiques 2008/3: 285-303. Thesis: Analyzes Alexander of Aphrodisias's treatment of determinism and responsibility in De Fato—""perh"
sc20_theophilus_ad_autolycum__work_theophilus_ad_autolycum_sc20,work,sc20_theophilus_ad_autolycum,"Theophilus, Ad Autolycum",work_theophilus_ad_autolycum_sc20,Ad Autolycum (SC 20),0.65,0.81,0.3-0.7,sc20_theophilus_ad_autolycum,description_token_overlap;label_token_overlap,"Theophilus of Antioch, *Ad Autolycum libri III* (Πρὸς Αὐτόλυκον). Composed c. 180-190 AD in Antioch, under the episcopate of Theophilus (the sixth bishop of Antioch according to Eusebius, *HE* IV.20).",Title: To Autolycus (Πρὸς Αὐτόλυκον) Author: Theophilus of Antioch Date: c. 180 CE Edition: Sources Chrétiennes 20 (Bardy) Contents relevant to free will: Book II.27: Creation and Adamic freedom. Inte
argument_origen_witness_personality_anti_unilateral_amand1945__argument_origen_witness_platonism_influence_amand1945,argument,argument_origen_witness_personality_anti_unilateral_amand1945,Origène — Rejet des lectures unilatérales (Amand contra de Faye/Koch et contra Bardy),argument_origen_witness_platonism_influence_amand1945,Origène — Influence platonicienne réelle (Amand 1945),0.21,0.81,<=0.3,argument_origen_witness_personality_anti_unilateral_amand1945,description_token_overlap,Amand (p. 279) argues that the two extreme views of Origen are equally defective: (1) the view that reduces Origen’s Christianity to a mere instrument of Greek philosophy (Hal Koch assigns philosophy ,"Amand (p. 291-292): Plato more than anyone else exercised a profound influence. Bigg endorsed this in a celebrated book. Origen’s doctrine concerning God and the world is, for the most part, that of P"
scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept__scholarly_argument_voelke_stoic_reason_is_will,argument,scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept,Irwin: denying Greeks a concept of will because they are not voluntarists is a historical and philosophical mistake,scholarly_argument_voelke_stoic_reason_is_will,Voelke: in Stoic rationalism reason itself is will — against the thesis that Greek thought ignored the will,0.15,0.81,<=0.3,scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept,description_token_overlap,Irwin's closing diagnosis of the whole debate: critics who claim that Greek philosophers have no concept of the will may really mean only that the Greeks do not hold a voluntarist conception of the wi,Voelke opens against the frequently held thesis (Opstelten's special study; Pohlenz's claim that the Greeks recognised no volitional function distinct from the intellectual ones) that the philosophica
pub_bianchi_2020_heterodoxy_and_rational_theology_jean_le_clerc_and_origen__pub_bianchi_2024_heterodoxy_and_rational_theology,publication,pub_bianchi_2020_heterodoxy_and_rational_theology_jean_le_clerc_and_origen,Andrea Bianchi 2020 — Heterodoxy and rational theology : Jean Le Clerc and Origen,pub_bianchi_2024_heterodoxy_and_rational_theology,Andrea Bianchi 2024 — Heterodoxy and Rational Theology,0.76,0.8,0.7-0.9,pub_bianchi_2020_heterodoxy_and_rational_theology_jean_le_clerc_and_origen,description_token_overlap;label_token_overlap,"""Despite his controversial reputation, Origen of Alexandria (185-253) was very much present in 17th- century religious debates. His official condemnation by the Church was a stain on his theological a","Despite his controversial reputation, Origen of Alexandria (185–253) was very much present in 17th- century religious debates. His official condemnation by the Church was a stain on his theological an"
sc20_theophilus_ad_autolycum__work_theophilus_ad_autolycum_book2,work,sc20_theophilus_ad_autolycum,"Theophilus, Ad Autolycum",work_theophilus_ad_autolycum_book2,"Theophilus, Ad Autolycum Book 2",0.24,0.8,<=0.3,sc20_theophilus_ad_autolycum,description_token_overlap;label_token_overlap,"Theophilus of Antioch, *Ad Autolycum libri III* (Πρὸς Αὐτόλυκον). Composed c. 180-190 AD in Antioch, under the episcopate of Theophilus (the sixth bishop of Antioch according to Eusebius, *HE* IV.20).","Second book of Theophilus's three-book apologetic work addressed to pagan Autolycus. Contains pioneering articulation of νήπιος doctrine in chapters 25-28, arguing Adam existed as literal infant at cr"
argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188__argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,argument,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin),argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,Voluntary/Involuntary Distinction Argument,0.89,0.79,0.7-0.9,argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,description_token_overlap;label_token_overlap,"In Nicomachean Ethics III.1-5 (1109b30-1115a3), Aristotle provides the foundational ancient analysis of voluntary (ἑκούσιον, hekousion) and involuntary (ἀκούσιον, akousion) action, establishing the co",The Voluntary/Involuntary Distinction Argument in Nicomachean Ethics III.1 establishes the foundational criteria for moral responsibility in ancient ethics. Aristotle argues that actions deserve prais
scholarly_argument_michon_interpretation_of_paul_s_ego_i_1__scholarly_argument_michon_the_will_in_sinful_man_first_r_2,argument,scholarly_argument_michon_interpretation_of_paul_s_ego_i_1,Michon: Thomas Aquinas adopts a double reading of Paul's 'ego': (i) Paul speaks in the p,scholarly_argument_michon_the_will_in_sinful_man_first_r_2,"Michon: In the first reading (man in sin), the sinner's reason consents to fleshly sugge",0.2,0.79,<=0.3,scholarly_argument_michon_the_will_in_sinful_man_first_r_2,description_token_overlap;label_token_overlap,"interpretation of Paul's ego in Romans 7 — Thomas Aquinas adopts a double reading of Paul's 'ego': (i) Paul speaks in the person of sinful man generally, and (ii) Paul speaks in his own person as a ma","the will in sinful man (first reading) — In the first reading (man in sin), the sinner's reason consents to fleshly suggestions, yielding to sin under the influence of prior sins; the sinner acts agai"
argument_alexander_witness2_envelope_amand1945__argument_carneadean_virtue_vice_amand1945,argument,argument_alexander_witness2_envelope_amand1945,Argument-cadre du témoin n°2 Alexandre De Fato 16-20 — enveloppe quinquépartite de la diatribe antifataliste,argument_carneadean_virtue_vice_amand1945,"Argument carnéadien III — Vertu et vice, louange et blâme sont sans objet (collapse of moral evaluation)",0.05,0.79,<=0.3,argument_carneadean_virtue_vice_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 148, ll. 8481-8530) within Alexander’s De Fato 16-20. According to Amand, Alexander ""accumulates moral arguments against Chrysippus’ absolu","Third of the six argumentative headings reconstructed by Amand (1945, p. 576-577). Amand's formulation: ""Under the hypothesis of absolute fatalism, virtue and vice, praise and blame are useless, becau"
pub_frankfurt_1971_freedom_will_person__pub_hausmann_noller_2021_free_will_perspectives,publication,pub_frankfurt_1971_freedom_will_person,"Frankfurt, H. (1971). Freedom of the Will and the Concept of a Person. Journal of Philosophy 68(1): 5-20.",pub_hausmann_noller_2021_free_will_perspectives,"Hausmann, M. & Noller, J. (eds.) (2021). Free Will: Historical and Analytic Perspectives. Palgrave Macmillan.",0.08,0.79,<=0.3,pub_frankfurt_1971_freedom_will_person,description_token_overlap,"Foundational article by Harry G. Frankfurt (*Journal of Philosophy* 68/1, 1971, p. 5-20) introducing the distinction between first-order desires and second-order desires (second-order volitions) as a ","Collective volume edited by Marco Hausmann and Jörg Noller (Palgrave Macmillan 2021, xii+285 p.), bringing together contributions on free will that combine a historical perspective (Aristotle, the Sto"
work_origen_commentary_john__work_ps_clement_recognitiones,work,work_origen_commentary_john,"Origène, Commentaire sur Jean",work_ps_clement_recognitiones,"Pseudo-Clement, Recognitiones (Latin translation by Rufinus of Aquileia)",0.05,0.79,<=0.3,work_origen_commentary_john,description_token_overlap,"Origen's Commentary on the Gospel of John in 32 books, a major exegetical work begun around 230 in Alexandria and continued for several years in Caesarea. Partially preserved: books I, II, VI, X, XIII","Pseudo-Clementine Recognitiones, ten books, transmitted in the Latin translation of Rufinus of Aquileia (c. 406 CE). Original Greek lost (apart from quotations and Syriac fragments). Composed c. 220 —"
scholarly_argument_munier_free_will_and_determinism_in_j_0__scholarly_argument_munier_human_nature_and_salvation_in__1,argument,scholarly_argument_munier_free_will_and_determinism_in_j_0,Munier: The work is a comprehensive study of Justin's Apology that addresses theological,scholarly_argument_munier_human_nature_and_salvation_in__1,Munier: Munier discusses Justin's anthropology and soteriology in chapter IX.4 'L'homme ,0.8,0.78,0.7-0.9,scholarly_argument_munier_free_will_and_determinism_in_j_0,description_token_overlap;label_token_overlap,"Munier treats free will within ch. IX.4 'L'homme et son salut'. Moral responsibility and free will are closely interdependent in Justin, as in most Apologists; free will is a 'pièce maîtresse' of earl","Ch. IX.4 'L'homme et son salut' (pp. 114-127) opens with Justin's optimism about creation and, on the soul (immortal by grace, not by nature), quotes Puech: the soul must be rewarded according to its "
collection_aetius_placita__collection_dox_graeci_diels,source_collection,collection_aetius_placita,"Aétius, Placita Philosophorum",collection_dox_graeci_diels,"Diels, Doxographi Graeci",0.07,0.78,<=0.3,collection_aetius_placita,description_token_overlap,"Doxographical compilation attributed to Aetius (probably first–second century AD; Diels dated the Placita to around 100 AD), reconstructed by Hermann Diels (Doxographi Graeci, Berlin 1879) from Pseudo","Foundational edition by Hermann Diels (Berlin, Reimer 1879; repr. Berlin / de Gruyter 1965), reconstructing the Greek doxographical tradition through Quellenforschung: systematic comparison of Stobaeu"
scholarly_argument_brouwer_periodization_of_free_will_deb_0__scholarly_argument_engberg_pedersen_paul_s_world_view_as_both_jewi_1,argument,scholarly_argument_brouwer_periodization_of_free_will_deb_0,Brouwer: The early Imperial period (31 BCE–250 CE) is especially important for the develo,scholarly_argument_engberg_pedersen_paul_s_world_view_as_both_jewi_1,Engberg-Pedersen: Paul's Jewish 'apocalyptic' world-view can be more fully understood when recogni,0.43,0.78,0.3-0.7,scholarly_argument_brouwer_periodization_of_free_will_deb_0,description_token_overlap,"periodization of free will debate — The early Imperial period (31 BCE–250 CE) is especially important for the development of fate, providence and free will, beginning with Augustus' reign when the phi",Paul's world-view as both Jewish apocalyptic and Stoic philosophical — Paul's Jewish 'apocalyptic' world-view can be more fully understood when recognized as also spelled out in terms of Greco-Roman p
scholarly_argument_moore_pharisee_doctrine_on_fate_and__1__scholarly_argument_rousseau_irenaeus_s_own_position_on_fre_1,argument,scholarly_argument_moore_pharisee_doctrine_on_fate_and__1,Moore: Josephus presents inconsistent accounts: in Antiquities the Pharisees hold a mix,scholarly_argument_rousseau_irenaeus_s_own_position_on_fre_1,Rousseau: The edition presents Irenaeus's critique of Gnostic determinism as implying that,0.11,0.78,<=0.3,scholarly_argument_moore_pharisee_doctrine_on_fate_and__1,description_token_overlap,"Moore sets three Josephan accounts side by side: Ant. xiii.5.9 (some things the work of fate, some 'in men's own power'); War ii.8.14 (the Pharisees 'attribute everything to fate and to God', doing ri","SC 264 edits Book I, Irenaeus's exposition of the Valentinian, Marcosian and other systems; it contains no statement of Irenaeus's own doctrine of free will, which belongs to Book IV (IV,37-39) and to"
argument_chrysostom_antiastrological_demonic_amand1945__argument_chrysostom_hom_1tim_first_text_amand1945,argument,argument_chrysostom_antiastrological_demonic_amand1945,Chrysostome — argument démonique contre l'astrologie populaire,argument_chrysostom_hom_1tim_first_text_amand1945,Chrysostome Hom. 1 Tim 1.3 — premier texte antifataliste,0.12,0.77,<=0.3,argument_chrysostom_antiastrological_demonic_amand1945,description_token_overlap;label_token_overlap,"Chrysostom’s recurrent argument against Christians’ belief in heimarmene and astrological genesis, testifying to the persistence of fatalistic superstition among his Antiochene and subsequently Consta","Antifatalist argument cited by Amand 1945 (Book II ch. XII §IV.1, p. 509-510) as the 'first text' in the Chrysostom dossier. Source: Hom. 1 Tim 1.3 (PG 62, 507 l.45-56). The preacher develops a reduct"
argument_alexander_witness2_envelope_amand1945__argument_carneadean_action_futility_amand1945,argument,argument_alexander_witness2_envelope_amand1945,Argument-cadre du témoin n°2 Alexandre De Fato 16-20 — enveloppe quinquépartite de la diatribe antifataliste,argument_carneadean_action_futility_amand1945,Argument carnéadien V — Toute action humaine devient inutile ; on négligera vertu et effort (futility of all action),0.05,0.77,<=0.3,argument_carneadean_action_futility_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 148, ll. 8481-8530) within Alexander’s De Fato 16-20. According to Amand, Alexander ""accumulates moral arguments against Chrysippus’ absolu","Fifth of the six argumentative headings reconstructed by Amand (1945, p. 578-580). Amand's formulation: ""If astrological fatalism is true, every action, whether moral or not, becomes useless, and virt"
argument_origen_witness_carneadean_transposition_envelope_amand1945__argument_origen_witness_carneades_transposition_theological_consequences_amand1945,argument,argument_origen_witness_carneadean_transposition_envelope_amand1945,Origène — Transposition théologique des arguments moraux de Carnéade (Amand 1945 Livre II Ch. V §IV),argument_origen_witness_carneades_transposition_theological_consequences_amand1945,"Origène (transposant Carnéade) — Conséquences théologiques : vanité du Christ, des Apôtres, de l'Économie (Amand 1945)",0.26,0.77,<=0.3,argument_origen_witness_carneadean_transposition_envelope_amand1945,description_token_overlap;label_token_overlap,"Argumentative framework: Amand devotes §IV (p. 318-325) to Origen's use of Carneades' anti-fatalist moral argumentation. It is the first two sections of chapter 23 of the Philocalia (Phil. 23.1-2, Rob","Amand (p. 321): Origen then develops the series of theological, impious, and blasphemous consequences of astrological fatalism (Phil. 23.1, Robinson p. 188,5-16). Text cited by Amand: “Christian faith"
pub_hall_2018_origen_and_prophecy__scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,publication,pub_hall_2018_origen_and_prophecy,C Hall 2018 — Origen and prophecy,scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,"Hall 2021 — Origen and Prophecy: Fate, Authority, Allegory, and the Structure of Scripture",0.22,0.77,<=0.3,scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,description_token_overlap;label_token_overlap,"<p>This thesis is an attempt to understand prophecy in the thought of Origen of Alexandria.</p> <p>There is no speculative theological work of Origen (or, indeed, of any other Church writer of his per","Origen and Prophecy: Fate, Authority, Allegory, and the Structure of Scripture"
argument_boethian_solution_divine_eternity_k1l2m3n4__argument_boethius_modes_cognition,argument,argument_boethian_solution_divine_eternity_k1l2m3n4,Boethian Solution: Divine Timeless Eternity,argument_boethius_modes_cognition,Boethius's Modes of Cognition Argument (Consolation V.pr.4-5),0.71,0.77,0.7-0.9,argument_boethian_solution_divine_eternity_k1l2m3n4,description_token_overlap,"Boethius's solution to the problem of divine foreknowledge and human freedom, presented in Consolation of Philosophy V. The argument proceeds in four steps: (1) V.pr.3 states the problem — if God fore","**Primary source**: Boethius, *Consolation of Philosophy* V.pr.4-5 (CCSL 94, Bieler, 1957/1984; ed. Moreschini, Bibliotheca Teubneriana, 2000/2005).
**Premise 1**: Knowledge is determined by the mode "
work_chrysostom_hom_romans__work_epicurus_letter_menoeceus,work,work_chrysostom_hom_romans,"John Chrysostom, Homiliae in Epistulam ad Romanos (Homilies on Romans)",work_epicurus_letter_menoeceus,Letter to Menoeceus (Epistula ad Menoeceum),0.25,0.77,<=0.3,work_epicurus_letter_menoeceus,description_token_overlap,"John Chrysostom's series of 32 homilies on Paul's Epistle to the Romans (PG 60, 391–682), delivered at Antioch between c. 391 and c. 397 CE while Chrysostom was still presbyter under bishop Flavian. T","Epicurus's summary of his ethics, preserved in Diogenes Laertius X.122-135. Contains the passage on fate and chance: it were better to follow the myths about the gods than to become a slave to the des"
scholarly_argument_still_paul_as_apologist_0__scholarly_argument_still_paul_s_role_as_apologist_and_d_0,argument,scholarly_argument_still_paul_as_apologist_0,"Still: Raises the question of whether Paul should be considered an apologist, framing i",scholarly_argument_still_paul_s_role_as_apologist_and_d_0,"Still: The volume explores how early Christian apologists engaged with Paul's writings,",0.85,0.76,0.7-0.9,scholarly_argument_still_paul_s_role_as_apologist_and_d_0,description_token_overlap;label_token_overlap,"Still (Afterword, pp. 291-292) returns to Wilhite's question whether Paul may be considered an apologist. Paul offers no general defence of Christians against outsiders' accusations as later apologist","The Apologists and Paul (eds Still & Wilhite, 2024). Wilhite's Introduction (pp. 1-20) treats 'apologist' as an unstable, pragmatic, catch-all category, and asks whether Paul himself might be consider"
synthesis_epict_eph_hemin_doctrine__synthesis_epict_thematic_index,synthesis,synthesis_epict_eph_hemin_doctrine,Epictetus: τὸ ἐφ' ἡμῖν - Complete Doctrine Synthesis (185 Passages),synthesis_epict_thematic_index,Epictetus ἐφ' ἡμῖν Doctrine: Thematic Index,0.39,0.76,0.3-0.7,synthesis_epict_eph_hemin_doctrine,description_token_overlap;label_token_overlap,"[EPICTETUS ON τὸ ἐφ' ἡμῖν - WHAT IS UP TO US] Comprehensive synthesis of 185 analyzed passages from Discourses, Enchiridion, and Fragments. I. THE fundamental DICHOTOMY τῶν ὄντων τὰ μέν ἐστιν ἐφ' ἡμῖν","[THEMATIC INDEX FOR EPICTETUS ἐφ' ἡμῖν passages]

═══ DICHOTOMY OF control ═══
Foundational: 1, 14, 40, 151
Development: 3, 7, 13, 30
Applications: 164-165, 167

═══ prohairesis ═══
Definition: 14, 30"
scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations__scholarly_argument_helm_libertarian_free_will_3,argument,scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations,Gibbons: Pauline anthropology preserves conflicting motivations without making choice indeterminate,scholarly_argument_helm_libertarian_free_will_3,Helm: Argues that compatibilist theism is in no better or worse moral case than free-w,0.25,0.76,<=0.3,scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations,description_token_overlap,"Gibbons argues that Origen's Pauline anthropology supplies the motivational architecture for universal revisability. The soul stands between spirit and flesh, so better spiritual desires and worse bod","libertarian free will — Argues that compatibilist theism is in no better or worse moral case than free-will theism (libertarian varieties). If God is compromised as author of evil under compatibilism,"
argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0__scholarly_argument_karavites_law_trains_choice_without_compulsion,argument,argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,Voluntary/Involuntary Distinction Argument,scholarly_argument_karavites_law_trains_choice_without_compulsion,Karavites: the Law trains free choice without replacing it,0.11,0.76,<=0.3,argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,description_token_overlap,The Voluntary/Involuntary Distinction Argument in Nicomachean Ethics III.1 establishes the foundational criteria for moral responsibility in ancient ethics. Aristotle argues that actions deserve prais,"The Law states and teaches the good, prepares for Christ, and provides criteria for praise and blame, but the decision to follow it remains the agent's. Karavites presents this pedagogy as guidance of"
argument_frede_2011_epictetus_first_free_will__scholarly_argument_frede_epictetus_and_free_will_3,argument,argument_frede_2011_epictetus_first_free_will,Épictète articule la première notion effective de libre arbitre (Frede 2011),scholarly_argument_frede_epictetus_and_free_will_3,"Frede: Epictetus is the key figure in whom the earlier Stoic theory of assent, enriched",0.77,0.76,0.7-0.9,argument_frede_2011_epictetus_first_free_will,description_token_overlap,Central thesis of the book. Frede 2011 ch. 5 §2 (p. 76-85). Premises: (P1) the term autexousion appears twice in Musonius and then frequently in Epictetus and denotes freedom; (P2) Epictetus places pr,"Frede locates in Epictetus 'the first time that we have any notion of a will' (p. 46): what is up to us is how we deal with our impressions, assent being only one such thing; prohairesis, which define"
argument_wildberg_2014_simplicius_neoplatonist_reading_epictetus_prohairesis_not_free_will__scholarly_argument_chamberlain_prohairesis_explains_akrasia_children,argument,argument_wildberg_2014_simplicius_neoplatonist_reading_epictetus_prohairesis_not_free_will,Wildberg 2014 — Simplicius's Neoplatonist reading of Epictetan prohairesis (not yet free will),scholarly_argument_chamberlain_prohairesis_explains_akrasia_children,"Chamberlain: the process reading explains akrasia, the exclusion of children and animals, and the ban on the impossible",0.31,0.75,0.3-0.7,argument_wildberg_2014_simplicius_neoplatonist_reading_epictetus_prohairesis_not_free_will,description_token_overlap;label_token_overlap,"Christian Wildberg's scholarly argument, « The will and its freedom: Epictetus and Simplicius on what is up to us », the 21st contribution to the volume Destrée–Salles–Zingano 2014 (p. 329-349): two t",Chamberlain tests his process/commitment reading against NE 3.2 and EE 2.10 and argues it smooths the passages that embarrass the translation 'choice': children and animals share in hairesis but not p
synthesis_furst2022_imperial_freedom_debate__synthesis_furst2022_philo_alexandria_pivot,synthesis,synthesis_furst2022_imperial_freedom_debate,The omnipresence of the debate on freedom in the Imperial period (Fürst 2022),synthesis_furst2022_philo_alexandria_pivot,Philon d'Alexandrie = maillon décisif vers le christianisme primitif (Fürst 2022),0.22,0.75,<=0.3,synthesis_furst2022_imperial_freedom_debate,description_token_overlap;label_token_overlap,"Fürst 2022, Kap. III (p. 101-138): the debate on self-determination became virtually ubiquitous in the intellectual culture of the imperial period (1st-3rd c. AD). Preserved sources: Epictetus (Discou","Fürst 2022, Kap. IV 1 (p. 141-149): Philo of Alexandria (30/40 AD) is the decisive link between Hellenistic philosophy and early Christian thought on freedom. Three major innovations in his treatise Q"
argument_non_necessity_nature_alex__argument_socrates_zopyrus_alex,argument,argument_non_necessity_nature_alex,"Alexander's ""For the Most Part"" Argument",argument_socrates_zopyrus_alex,Socrates-Zopyrus Argument for Transcending Nature,0.17,0.75,<=0.3,argument_non_necessity_nature_alex,description_token_overlap,"Alexandrian argument (De Fato ch. 6 (Bruns 169-172)): Natural processes (and thus fate) happen ""for the most part"" (ὡς ἐπὶ τὸ πλεῖστον), NOT by necessity (ἐξ ἀνάγκης). There is genuine room for the ""c","Alexandrian argument (De fato 6, ed. Bruns p. 171): The physiognomist Zopyrus read Socrates' natural constitution and predicted vicious character. Socrates' companions laughed, but Socrates confirmed "
scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times__scholarly_argument_skarsaune_divine_foreknowledge_and_proph_2,argument,scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times,"Josephus's own view: 'Providence always, fate at times' (Klawans 2012)",scholarly_argument_skarsaune_divine_foreknowledge_and_proph_2,Skarsaune: Justin's proof-from-prophecy method demonstrates that prophetic texts were under,0.87,0.75,0.7-0.9,scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times,description_token_overlap,"Klawans reconstructs Josephus's personal position (consistent with his Life-claim to follow the Pharisees) as a partial determinism summed up by the catchphrase 'Providence always, fate at times'. Evi","Skarsaune: the Christological testimonies of the 'kerygma' source 'express a Christology which focuses on Christ as the one who fulfils OT Messianic prophecies', with the two-parousias pattern safegua"
pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom__pub_szram_2004_koscio_jako_rzeczywistosc_wieczna_doktrynie_orygenesa,publication,pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom,Alfons Fürst 2019 — Origen of Alexandria: Christian Philosophy of Freedom,pub_szram_2004_koscio_jako_rzeczywistosc_wieczna_doktrynie_orygenesa,Mariusz Szram 2004 — Kościół jako rzeczywistość wieczna w doktrynie Orygenesa,0.04,0.75,<=0.3,pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom,description_token_overlap,"Abstract Origen of Alexandria (185–253/54) is the founder of the Christian philosophy of freedom. Drawing on both the philological and philosophical heritage of Hellenistic and Roman culture, he inven","In Origens theological research, the term Church has a very wide meaning, which conveys the framework of the earthly religious institution and the community of believers. In its fundamental sense, "
argument_origen_argos_logos__argument_origen_witness_diss_argos_logos_refutation_amand1945,argument,argument_origen_argos_logos,Origen's Refutation of the Argos Logos (Lazy Argument),argument_origen_witness_diss_argos_logos_refutation_amand1945,Origène — Réfutation de l'Argos Logos via prophéties Judas/Œdipe (Amand 1945),0.77,0.74,0.7-0.9,argument_origen_argos_logos,description_token_overlap;label_token_overlap,"**Source primaire** : Origène, *Contra Celsum* II.20 (SC 132, Borret, 1967) ; transmis aussi dans *Philocalie* 23.
**Prémisse 1** : Si tout est fatalement déterminé, l'effort humain (πρᾶξις) est super","Amand (p. 311): The compilers of the Philocalia appended to the discussion of foreknowledge a copious quotation from Contra Celsum II.20 (sections 12-13 of Philocalia 23, Robinson p. 199-201). There O"
concept_apotelesmatic_0y5z7b43__concept_genethlialogia_9x4y6a32,concept,concept_apotelesmatic_0y5z7b43,Apotelesmatic Astrology,concept_genethlialogia_9x4y6a32,Natal Astrology (Genethlialogia),0.05,0.74,<=0.3,concept_genethlialogia_9x4y6a32,description_token_overlap;label_token_overlap,Broader term for the astrological system that claims to derive concrete predictions about earthly events from celestial positions. Closely related to genethlialogia but encompasses all forms of astrol,"Central to Hellenistic astrology. Requires precise determination of birth moment to calculate positions of Sun, Moon, planets, and zodiacal signs. Astrologers claimed to predict personality, career, m"
synthesis_amand1945_chrysostom_carneadean_paradox__synthesis_amand1945_pseudo_chrysostom_witness6_status,synthesis,synthesis_amand1945_chrysostom_carneadean_paradox,"Amand 1945 — paradoxe Chrysostome: hellénisme nul, transmission carnéadienne maximale",synthesis_amand1945_pseudo_chrysostom_witness6_status,Amand 1945 — statut du témoin n°6 Pseudo-Chrysostome,0.16,0.74,<=0.3,synthesis_amand1945_chrysostom_carneadean_paradox,description_token_overlap;label_token_overlap,"Amand 1945 synthesis (Book II ch. XII, p. 480-532) on John Chrysostom’s constitutive paradox in the Carneadean transmission. According to Amand, following Puech, Chrysostom is perhaps the most detache","Amand 1945 synthesis (Book II ch. XII p. 504-510, 525-532) on the attribution and status of the Discours sur le Destin et la Providence V (PG 50, 765-768) as witness no. 6 in the Carneadean reconstruc"
pub_bobzien_2021_determinism_freedom_essays__scholarly_work_bobzien_1998_determinism_and_freedom_in_stoic_philoso,publication,pub_bobzien_2021_determinism_freedom_essays,"Bobzien 2021 — Determinism, Freedom, and Moral Responsibility: Essays in Ancient Philosophy",scholarly_work_bobzien_1998_determinism_and_freedom_in_stoic_philoso,Bobzien 1998/2001 — Determinism and Freedom in Stoic Philosophy,0.06,0.74,<=0.3,scholarly_work_bobzien_1998_determinism_and_freedom_in_stoic_philoso,label_token_overlap,"Susanne Bobzien, *Determinism, Freedom, and Moral Responsibility: Essays in Ancient Philosophy*, Oxford: OUP, 2021, xvi + 323 p., ISBN 978-0-19-886673-2. Collection of 9 essays published between 1997 ",Determinism and Freedom in Stoic Philosophy
