Citation,Frequency,Sample_Context_Type,Sample_Context_ID,Sample_Context_Label
"Aulus Gellius, Noctes Atticae VII.2 (on school handbooks)",2,node,concept_hypomnema_school_handbooks_1z6a8c54,School Handbooks (Hypomnemata)
"Alexander of Aphrodisias, De Fato (cites handbook traditions)",2,node,concept_hypomnema_school_handbooks_1z6a8c54,School Handbooks (Hypomnemata)
"Sextus Empiricus, Outlines of Pyrrhonism (Πυρρώνειοι Ὑποτυπώσεις)",2,node,person_sextus_empiricus_c160_210ce_d4f8a2b1,Sextus Empiricus
"Sextus Empiricus, Against the Professors (Adversus Mathematicos)",2,node,person_sextus_empiricus_c160_210ce_d4f8a2b1,Sextus Empiricus
"Plutarch, De Stoicorum Repugnantiis (On Stoic Self-Contradictions)",2,node,person_plutarch_45_120ce_b9c2a8f3,Plutarch of Chaeronea
"Plutarch, De Sera Numinis Vindicta (On the Delays of Divine Vengeance)",2,node,person_plutarch_45_120ce_b9c2a8f3,Plutarch of Chaeronea
"Plutarch, De Fato (On Fate, attributed but possibly pseudo-Plutarch)",2,node,person_plutarch_45_120ce_b9c2a8f3,Plutarch of Chaeronea
"Alcinous, Didaskalikos (Handbook of Platonism)",2,node,person_alcinous_c150ce_a7b5c4d2,Alcinous
"Proclus, Elements of Theology (Stoicheiōsis Theologikē)",2,node,person_proclus_412_485ce_f3d8b2a9,Proclus Diadochus
"Proclus, Tria Opuscula: De Decem Dubitationibus circa Providentiam; De Providentia et Fato; De Malorum Subsistentia",2,node,person_proclus_412_485ce_f3d8b2a9,Proclus Diadochus
"Cicero, Academica II.32-36",2,node,concept_pithanon_8f3a6d2c,pithanon (τὸ πιθανόν)
"Sextus Empiricus, Against the Logicians I.166-189",2,node,concept_pithanon_8f3a6d2c,pithanon (τὸ πιθανόν)
"Sextus Empiricus, Outlines of Pyrrhonism I.226-231",2,node,concept_pithanon_8f3a6d2c,pithanon (τὸ πιθανόν)
"Sextus Empiricus, Outlines of Pyrrhonism I.8-10, I.25-30",2,node,concept_isostheneia_4b7e9c3a,isostheneia (ἰσοσθένεια)
"Diogenes Laertius, Lives IX.74-76 (on Pyrrho)",2,node,concept_isostheneia_4b7e9c3a,isostheneia (ἰσοσθένεια)
"Alcinous, Didaskalikos 26",2,node,concept_conditional_fate_9a5c8b4d,conditional fate
"Calcidius, Commentary on Plato's Timaeus 142-190",2,node,concept_conditional_fate_9a5c8b4d,conditional fate
"Sextus Empiricus, Outlines of Pyrrhonism I.1-30 (general method)",2,node,argument_sextus_equipollence_argument_7d4b9e2a,Sextus Empiricus's Equipollence Argument for Suspension
"Sextus Empiricus, Against the Logicians II (critiques of causation)",2,node,argument_sextus_equipollence_argument_7d4b9e2a,Sextus Empiricus's Equipollence Argument for Suspension
"Sextus Empiricus, Against the Physicists I-II (on causation and necessity)",2,node,argument_sextus_equipollence_argument_7d4b9e2a,Sextus Empiricus's Equipollence Argument for Suspension
"Plutarch, De Sera Numinis Vindicta 548A-568A",2,node,argument_plutarch_providence_cooperation_8c5a9d3f,Plutarch's Divine-Human Cooperation Argument
"Plutarch, De Stoicorum Repugnantiis 1050B-1057B",2,node,argument_plutarch_providence_cooperation_8c5a9d3f,Plutarch's Divine-Human Cooperation Argument
"Proclus, De Decem Dubitationibus circa Providentiam (Ten Doubts Concerning Providence)",2,node,argument_proclus_levels_of_providence_4e8c7b9a,Proclus's Hierarchical Providence and Fate Argument
"Proclus, De Providentia et Fato (On Providence and Fate)",2,node,argument_proclus_levels_of_providence_4e8c7b9a,Proclus's Hierarchical Providence and Fate Argument
"Proclus, Elements of Theology, propositions 120-122",2,node,argument_proclus_levels_of_providence_4e8c7b9a,Proclus's Hierarchical Providence and Fate Argument
"Proclus, Commentary on Plato's Republic, essay on fate",2,node,argument_proclus_levels_of_providence_4e8c7b9a,Proclus's Hierarchical Providence and Fate Argument
"Origen, De Principiis III.1.1-24 (On Free Will)",2,node,argument_origen_free_will_theodicy_6f9d8a3c,Origen's Free Will Theodicy Against Gnosticism
"Origen, De Principiis I.5-6 (On rational beings)",2,node,argument_origen_free_will_theodicy_6f9d8a3c,Origen's Free Will Theodicy Against Gnosticism
"Origen, Contra Celsum IV.3, VI.44 (Against determinism)",2,node,argument_origen_free_will_theodicy_6f9d8a3c,Origen's Free Will Theodicy Against Gnosticism
"Origen, Philocalia 21-27 (On free will, compiled by Basil and Gregory)",2,node,argument_origen_free_will_theodicy_6f9d8a3c,Origen's Free Will Theodicy Against Gnosticism
"Ps.-Plutarch, De Fato 568E-575A",2,node,work_de_fato_pseudo_plutarch_a8c6d4e2,De Fato (On Fate) - Pseudo-Plutarch
"Proclus, Tria Opuscula (Latin translation by William of Moerbeke, c. 1280)",2,node,work_proclus_tria_opuscula_c9a8e4b3,Tria Opuscula (Three Essays) - Proclus
"Plotinus, Enneads VI.8 (Chronological order: treatise 39)",2,node,work_plotinus_ennead_vi_8_d8b9c5a4,Ennead VI.8 - On the Voluntary and Free Will of the One
"Sextus Empiricus, Outlines of Pyrrhonism (Πυρρώνειοι Ὑποτυπώσεις), 3 books",2,node,work_sextus_outlines_pyrrhonism_f9a7c8e4,Outlines of Pyrrhonism (Πυρρώνειοι Ὑποτυπώσεις) - Sextus Empiricus
"Proclus, De Decem Dubitationibus circa Providentiam",2,node,concept_pronoia_levels_proclus_a6d8c9b4,Levels of Providence (Proclean)
"Proclus, Elements of Theology, props. 120-122",2,node,concept_pronoia_levels_proclus_a6d8c9b4,Levels of Providence (Proclean)
"Proclus, In Rempublicam (Commentary on Republic)",2,node,concept_pronoia_levels_proclus_a6d8c9b4,Levels of Providence (Proclean)
"Origen, De Principiis I.6.1-4, III.6.1-9",2,node,concept_apokatastasis_origen_b8e9d7c5,apokatastasis (ἀποκατάστασις)
"Origen, Contra Celsum VI.26, VIII.72",2,node,concept_apokatastasis_origen_b8e9d7c5,apokatastasis (ἀποκατάστασις)
Acts 3:21 (biblical reference to apokatastasis pantōn),2,node,concept_apokatastasis_origen_b8e9d7c5,apokatastasis (ἀποκατάστασις)
Mishnah Avot (Pirke Avot) - later compilation preserving Hillel's traditions,2,node,person_hillel_elder_m3n4o5p6,Hillel the Elder
"Babylonian Talmud, Shabbat 31a (Golden Rule)",2,node,person_hillel_elder_m3n4o5p6,Hillel the Elder
Mishnah (various tractates),2,node,person_shammai_q7r8s9t0,Shammai
Avot de-Rabbi Natan,2,node,person_shammai_q7r8s9t0,Shammai
Dead Sea Scrolls (multiple Deuteronomy manuscripts),2,node,work_deuteronomy_y5z6a7b8,Deuteronomy (Devarim)
Septuagint (LXX - different order/content),2,node,work_jeremiah_k7l8m9n0,Jeremiah (Yirmiyahu)
"Dead Sea Scrolls (4QJera, 4QJerb, etc.)",2,node,work_jeremiah_k7l8m9n0,Jeremiah (Yirmiyahu)
Septuagint (LXX - shorter),2,node,work_job_o1p2q3r4,Job (Iyov)
"Dead Sea Scrolls (4Q99, 4Q100, 11QtgJob Targum)",2,node,work_job_o1p2q3r4,Job (Iyov)
"Dead Sea Scrolls (4QQoha, 4QQohb)",2,node,work_ecclesiastes_w9x0y1z2,Ecclesiastes (Qohelet)
Hebrew manuscripts from Cairo Geniza and Dead Sea Scrolls (fragmentary),2,node,work_sirach_a3b4c5d6,Wisdom of Sirach (Ecclesiasticus)
Greek translation (LXX),2,node,work_sirach_a3b4c5d6,Wisdom of Sirach (Ecclesiasticus)
Latin Vulgate,2,node,work_sirach_a3b4c5d6,Wisdom of Sirach (Ecclesiasticus)
Syriac Peshitta,2,node,work_sirach_a3b4c5d6,Wisdom of Sirach (Ecclesiasticus)
1QS (Cave 1 manuscript - most complete),2,node,work_dss_community_rule_e7f8g9h0,"Community Rule (Serek HaYahad, 1QS)"
4QSa-j (Cave 4 fragments),2,node,work_dss_community_rule_e7f8g9h0,"Community Rule (Serek HaYahad, 1QS)"
"5Q11, 5Q13 (Cave 5 fragments)",2,node,work_dss_community_rule_e7f8g9h0,"Community Rule (Serek HaYahad, 1QS)"
1QHa (Cave 1 - major manuscript),2,node,work_dss_hodayot_i1j2k3l4,"Thanksgiving Hymns (Hodayot, 1QH)"
1QHb (Cave 1 fragments),2,node,work_dss_hodayot_i1j2k3l4,"Thanksgiving Hymns (Hodayot, 1QH)"
4QHa-f (Cave 4 fragments),2,node,work_dss_hodayot_i1j2k3l4,"Thanksgiving Hymns (Hodayot, 1QH)"
4Q394-399 (Cave 4 manuscripts),2,node,work_dss_4qmmt_m5n6o7p8,Miqsat Ma'ase ha-Torah (4QMMT)
Cairo Geniza manuscripts (medieval copies),2,node,work_damascus_document_q9r0s1t2,Damascus Document (CD)
4Q266-273 (Cave 4 Qumran manuscripts),2,node,work_damascus_document_q9r0s1t2,Damascus Document (CD)
"5Q12, 6Q15 (fragmentary)",2,node,work_damascus_document_q9r0s1t2,Damascus Document (CD)
"Genesis 6:5, 8:21 (biblical basis)",2,node,concept_yetzer_ha_ra_u3v4w5x6,Evil Inclination (Yetzer Ha-Ra)
Sirach 15:14 - 'God created humans... and left them in power of their own yetzer',2,node,concept_yetzer_ha_ra_u3v4w5x6,Evil Inclination (Yetzer Ha-Ra)
"4 Ezra 3:20-22, 7:92 (apocalyptic pessimism about yetzer)",2,node,concept_yetzer_ha_ra_u3v4w5x6,Evil Inclination (Yetzer Ha-Ra)
"Rabbinic literature (Mishnah, Talmud) - fully developed doctrine",2,node,concept_yetzer_ha_ra_u3v4w5x6,Evil Inclination (Yetzer Ha-Ra)
Rabbinic literature (fully developed),2,node,concept_yetzer_ha_tov_y7z8a9b0,Good Inclination (Yetzer Ha-Tov)
Possible Second Temple roots in Qumran 'Two Spirits' doctrine (different conceptually),2,node,concept_yetzer_ha_tov_y7z8a9b0,Good Inclination (Yetzer Ha-Tov)
Hebrew Bible (verb bachar - to choose),2,node,concept_bechirah_c1d2e3f4,Choice/Free Will (Bechirah)
Rabbinic literature (noun bechirah),2,node,concept_bechirah_c1d2e3f4,Choice/Free Will (Bechirah)
Rabbinic literature,2,node,concept_ratzon_g5h6i7j8,Will/Desire (Ratzon)
"Deuteronomy 7:6-11 - Election by grace, commandments as response",2,node,concept_covenant_nomism_k9l0m1n2,Covenant Nomism
Psalm 119 - Delight in Torah as covenant response,2,node,concept_covenant_nomism_k9l0m1n2,Covenant Nomism
"Jubilees, 1 Enoch, Psalms of Solomon - Second Temple expressions",2,node,concept_covenant_nomism_k9l0m1n2,Covenant Nomism
"Philo, De Providentia",2,node,concept_hashgachah_o3p4q5r6,Divine Providence (Hashgachah)
"Josephus, Antiquities XIII.171-173",2,node,concept_hashgachah_o3p4q5r6,Divine Providence (Hashgachah)
1QS 3:13-4:26 (Community Rule - Two Spirits Treatise),2,node,concept_two_spirits_doctrine_s7t8u9v0,Two Spirits Doctrine (Qumran)
1QM (War Scroll - eschatological battle between spirits),2,node,concept_two_spirits_doctrine_s7t8u9v0,Two Spirits Doctrine (Qumran)
"Josephus, Jewish War II.162-163",2,node,group_pharisees_w1x2y3z4,Pharisees
"Josephus, Antiquities XIII.171-173, XVIII.12-15",2,node,group_pharisees_w1x2y3z4,Pharisees
"New Testament (Gospels, Acts - often polemical)",2,node,group_pharisees_w1x2y3z4,Pharisees
"Rabbinic literature (Mishnah, Talmud)",2,node,group_pharisees_w1x2y3z4,Pharisees
"Josephus, Jewish War II.164-165",2,node,group_sadducees_a5b6c7d8,Sadducees
"Josephus, Antiquities XIII.171-173, XVIII.16-17",2,node,group_sadducees_a5b6c7d8,Sadducees
"New Testament (Matthew 22:23-33, Acts 23:6-8)",2,node,group_sadducees_a5b6c7d8,Sadducees
Rabbinic literature (polemical references),2,node,group_sadducees_a5b6c7d8,Sadducees
"Josephus, Jewish War II.119-161 (extensive description)",2,node,group_essenes_e9f0g1h2,Essenes
"Josephus, Antiquities XIII.171-172, XV.371-379, XVIII.18-22",2,node,group_essenes_e9f0g1h2,Essenes
"Philo, Quod Omnis Probus Liber Sit 75-91",2,node,group_essenes_e9f0g1h2,Essenes
"Pliny the Elder, Natural History V.73",2,node,group_essenes_e9f0g1h2,Essenes
Dead Sea Scrolls (if Essenes = Qumran),2,node,group_essenes_e9f0g1h2,Essenes
Genesis 4:1-16 (Cain and Abel narrative),2,node,argument_genesis_cain_choice_i3j4k5l6,Genesis 4:7 - Cain's Free Choice Argument
"Rabbinic interpretations (Midrash Rabbah, Talmud)",2,node,argument_genesis_cain_choice_i3j4k5l6,Genesis 4:7 - Cain's Free Choice Argument
"Philo, Questions and Answers on Genesis I.70-81",2,node,argument_genesis_cain_choice_i3j4k5l6,Genesis 4:7 - Cain's Free Choice Argument
Sirach 15:11-20 (complete passage),2,node,argument_sirach_free_will_theodicy_m7n8o9p0,Sirach 15:11-20 - Free Will Theodicy
Sirach 17:1-14 (creation of humanity with moral knowledge),2,node,argument_sirach_free_will_theodicy_m7n8o9p0,Sirach 15:11-20 - Free Will Theodicy
Philo (similar arguments in Quod Deus Immutabilis Sit),2,node,argument_sirach_free_will_theodicy_m7n8o9p0,Sirach 15:11-20 - Free Will Theodicy
"Ezekiel 18:1-32, 33:10-20",2,node,argument_ezekiel_individual_responsibility_q1r2s3t4,Ezekiel 18 - Individual Moral Responsibility
Jeremiah 31:29-30 (parallel rejection of inherited guilt),2,node,argument_ezekiel_individual_responsibility_q1r2s3t4,Ezekiel 18 - Individual Moral Responsibility
Rabbinic interpretations,2,node,argument_ezekiel_individual_responsibility_q1r2s3t4,Ezekiel 18 - Individual Moral Responsibility
Patristic citations,2,node,argument_ezekiel_individual_responsibility_q1r2s3t4,Ezekiel 18 - Individual Moral Responsibility
Jeremiah 31:31-34,2,node,argument_jeremiah_new_covenant_u5v6w7x8,Jeremiah 31:31-34 - New Covenant and Divine Transformation
Ezekiel 36:26-27 (parallel: 'I will give you a new heart'),2,node,argument_jeremiah_new_covenant_u5v6w7x8,Jeremiah 31:31-34 - New Covenant and Divine Transformation
Deuteronomy 30:6 ('The LORD will circumcise your heart'),2,node,argument_jeremiah_new_covenant_u5v6w7x8,Jeremiah 31:31-34 - New Covenant and Divine Transformation
"New Testament appropriations (Hebrews 8:8-12, 2 Corinthians 3:3)",2,node,argument_jeremiah_new_covenant_u5v6w7x8,Jeremiah 31:31-34 - New Covenant and Divine Transformation
Exodus 4-14 (Pharaoh narrative),2,node,argument_divine_hardening_problem_y9z0a1b2,Divine Hardening Problem (Pharaoh's Heart)
"Philo, De Vita Mosis I (allegorical interpretation)",2,node,argument_divine_hardening_problem_y9z0a1b2,Divine Hardening Problem (Pharaoh's Heart)
Romans 9:14-18 (Paul's use),2,node,argument_divine_hardening_problem_y9z0a1b2,Divine Hardening Problem (Pharaoh's Heart)
Rabbinic interpretations (Exodus Rabbah),2,node,argument_divine_hardening_problem_y9z0a1b2,Divine Hardening Problem (Pharaoh's Heart)
1QS 3:13-4:26 (Two Spirits Treatise),2,node,argument_qumran_predestination_c3d4e5f6,Qumran Predestinarian Argument (Two Spirits)
CD 2:2-13 (Damascus Document - foreknowledge and election),2,node,argument_qumran_predestination_c3d4e5f6,Qumran Predestinarian Argument (Two Spirits)
"Methodius of Olympus, De libero arbitrio (fragmenta, PG 18, 244-260)",2,node,person_methodius_olympus_d311,Methodius of Olympus
Letters,2,node,person_basil_great_d379,Basil the Great
Sermons,2,node,person_faustus_riez_d495,Faustus of Riez
"Augustine, De Praedestinatione Sanctorum II.5",2,node,concept_gratia_praeveniens,Gratia Praeveniens (Prevenient Grace)
"Prosper of Aquitaine, Sententiae ex Augustino Delibatae",2,node,concept_gratia_operans,Gratia Operans (Operating Grace)
"John Cassian, Collationes XIII.12-17.",2,node,concept_synergism,Synergism (Synergy)
"Second Council of Orange (529), Canon 9.",2,node,concept_synergism,Synergism (Synergy)
2 Peter 1:4 (partakers of divine nature),2,node,concept_theosis,Theosis (Deification)
"Athanasius, De Incarnatione 54 (God became man that we might become god)",2,node,concept_theosis,Theosis (Deification)
"Gregory of Nazianzus, Oration 29.19",2,node,concept_theosis,Theosis (Deification)
"Maximus the Confessor, Ambigua 7",2,node,concept_theosis,Theosis (Deification)
"Augustine, De Peccatorum Meritis et Remissione I-III",2,node,concept_original_sin,Original Sin (Peccatum Originale)
"Augustine, Contra Julianum",2,node,concept_original_sin,Original Sin (Peccatum Originale)
"Augustine, De Civitate Dei XIII-XIV",2,node,concept_original_sin,Original Sin (Peccatum Originale)
"Augustine, De Praedestinatione Sanctorum",2,node,concept_predestination_augustinian,Predestination (Augustinian Double Predestination)
"Augustine, De Dono Perseverantiae",2,node,concept_predestination_augustinian,Predestination (Augustinian Double Predestination)
"Augustine, Enchiridion XXV-XXVII",2,node,concept_predestination_augustinian,Predestination (Augustinian Double Predestination)
Romans 9 (Paul on election),2,node,concept_predestination_augustinian,Predestination (Augustinian Double Predestination)
"Pelagius, Letter to Demetrias",2,node,concept_pelagianism,Pelagianism
"Augustine, De Natura et Gratia (anti-Pelagian)",2,node,concept_pelagianism,Pelagianism
"Augustine, De Gratia Christi et de Peccato Originali",2,node,concept_pelagianism,Pelagianism
Canons of Council of Carthage (418),2,node,concept_pelagianism,Pelagianism
"John Cassian, Conlationes XIII (on grace and free will)",2,node,concept_semi_pelagianism,Semi-Pelagianism
Canons of Second Council of Orange (529),2,node,concept_semi_pelagianism,Semi-Pelagianism
"Augustine, De Nuptiis et Concupiscentia",2,node,concept_concupiscence,Concupiscence (Concupiscentia)
"Augustine, Contra Julianum IV-VI",2,node,concept_concupiscence,Concupiscence (Concupiscentia)
"Augustine, Confessions VIII (struggle with concupiscence)",2,node,concept_concupiscence,Concupiscence (Concupiscentia)
Romans 7:7-25 (Paul on desire and law),2,node,concept_concupiscence,Concupiscence (Concupiscentia)
"Augustine, De Peccatorum Meritis et Remissione I.26.39",2,node,argument_infant_baptism,Infant Baptism Argument for Original Sin
"Augustine, Contra Duas Epistulas Pelagianorum IV.4.6-7",2,node,argument_infant_baptism,Infant Baptism Argument for Original Sin
"Augustine, De Gratia Christi et de Peccato Originali II.34.39",2,node,argument_infant_baptism,Infant Baptism Argument for Original Sin
"Augustine, De Libero Arbitrio Voluntatis (Books I-III, 387-395 CE)",2,node,work_de_libero_arbitrio,De Libero Arbitrio Voluntatis (On Free Choice of the Will)
"Augustine, Confessiones (397-400 CE), especially Books VII-VIII",2,node,work_confessions,Confessiones (Confessions)
"Augustine, De Diversis Quaestionibus ad Simplicianum (396 CE), especially Book I, Questions 1-2",2,node,work_ad_simplicianum,Ad Simplicianum (To Simplician)
"Prosper of Aquitaine, De Vocatione Omnium Gentium (c. 450 CE)",2,node,work_call_all_nations,De Vocatione Omnium Gentium (The Call of All Nations)
Pseudo-Dionysius,2,node,person_john_scotus_eriugena_a1b2c3d4,John Scotus Eriugena
Augustine (De Praedestinatione Sanctorum),2,node,person_gottschalk_of_orbais_e5f6g7h8,Gottschalk of Orbais
Fulgentius of Ruspe,2,node,person_gottschalk_of_orbais_e5f6g7h8,Gottschalk of Orbais
Gregory the Great,2,node,person_hincmar_of_reims_i9j0k1l2,Hincmar of Reims
Qur'an,2,node,person_al_ashari_m3n4o5p6,Al-Ash'ari (Abū al-Ḥasan al-Ashʿarī)
Al-Farabi,2,node,person_avicenna_y5z6a7b8,Avicenna (Ibn Sīnā)
Commentaries on Hebrew Bible,2,node,person_saadia_gaon_g3h4i5j6,Saadia Gaon (Saʿadya ben Yōsēf)
Augustine (primary authority),2,node,person_peter_lombard_a3b4c5d6,Peter Lombard
Church Fathers,2,node,person_peter_lombard_a3b4c5d6,Peter Lombard
Paul's Epistles,2,node,person_gregory_of_rimini_i1j2k3l4,Gregory of Rimini
"Augustine, De Libero Arbitrio I-III (On Free Choice of the Will)",2,node,concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium)
"Augustine, De Trinitate (memoria-intellectus-voluntas triad)",2,node,concept_voluntas_y7z8a9b0,Will (Voluntas)
"Aristotle, De Anima III (rational desire)",2,node,concept_voluntas_y7z8a9b0,Will (Voluntas)
"Aristotle, De Anima III",2,node,concept_intellectus_c1d2e3f4,Intellect (Intellectus)
"Augustine, De Trinitate",2,node,concept_intellectus_c1d2e3f4,Intellect (Intellectus)
"Avicenna, Kitab al-Nafs",2,node,concept_intellectus_c1d2e3f4,Intellect (Intellectus)
"Jerome, Commentary on Ezekiel (misreading of syneidesis)",2,node,concept_synderesis_g5h6i7j8,Synderesis
Stoic concept of syneidesis (moral consciousness),2,node,concept_synderesis_g5h6i7j8,Synderesis
Pseudo-Dionysius (divine names),2,node,concept_potentia_absoluta_ordinata_k9l0m1n2,Absolute and Ordained Power (Potentia Absoluta et Ordinata)
Anselm (divine omnipotence),2,node,concept_potentia_absoluta_ordinata_k9l0m1n2,Absolute and Ordained Power (Potentia Absoluta et Ordinata)
"Peter Lombard, Sentences I",2,node,concept_potentia_absoluta_ordinata_k9l0m1n2,Absolute and Ordained Power (Potentia Absoluta et Ordinata)
"Aristotle, De Interpretatione 9 (future contingents)",2,node,concept_synchronic_contingency_s7t8u9v0,Synchronic Contingency
Avicenna (possibility at the instant - Scotus critiques),2,node,concept_synchronic_contingency_s7t8u9v0,Synchronic Contingency
"Aristotle, Nicomachean Ethics III (voluntary action)",2,node,concept_diachronic_contingency_w1x2y3z4,Diachronic Contingency
Augustine (some passages suggest diachronic reading),2,node,concept_diachronic_contingency_w1x2y3z4,Diachronic Contingency
"Malebranche, Dialogues on Metaphysics VII-VIII",2,node,concept_occasionalism_a5b6c7d8,Occasionalism
"Malebranche, Search After Truth III.ii.3, VI.ii.3",2,node,concept_occasionalism_a5b6c7d8,Occasionalism
Qur'anic verses emphasizing divine sovereignty,2,node,concept_occasionalism_a5b6c7d8,Occasionalism
Rejection of Greek natural philosophy,2,node,concept_occasionalism_a5b6c7d8,Occasionalism
"Al-Ash'ari, Al-Luma'",2,node,concept_kasb_acquisition_e9f0g1h2,Acquisition (Kasb/Iktisab)
Developed by later Ash'arites,2,node,concept_kasb_acquisition_e9f0g1h2,Acquisition (Kasb/Iktisab)
"Aristotle, Nicomachean Ethics (virtue as rational disposition)",2,node,concept_intellectualism_medieval_i3j4k5l6,Intellectualism (Medieval)
"Aristotle, De Anima III (rational appetite)",2,node,concept_intellectualism_medieval_i3j4k5l6,Intellectualism (Medieval)
"Augustine, De Libero Arbitrio (some passages)",2,node,concept_voluntarism_medieval_m7n8o9p0,Voluntarism (Medieval)
"Anselm, De Libertate Arbitrii (On Freedom of Choice, 1080-1085 CE)",2,node,concept_voluntarism_medieval_m7n8o9p0,Voluntarism (Medieval)
John of Damascus,2,node,concept_voluntarism_medieval_m7n8o9p0,Voluntarism (Medieval)
Guide for the Perplexed III.20-21,2,node,argument_maimonides_divine_knowledge_different_kind_o5p6q7r8,Maimonides' Argument: Divine Knowledge as Sui Generis
"Mishneh Torah, Hilkhot Teshuvah 5.5",2,node,argument_maimonides_divine_knowledge_different_kind_o5p6q7r8,Maimonides' Argument: Divine Knowledge as Sui Generis
Wars of the Lord III.4-6,2,node,argument_gersonides_limited_omniscience_s9t0u1v2,Gersonides' Argument: Limited Divine Omniscience
"Thomas Aquinas, Summa Theologiae I-II q.13 a.6",2,node,debate_intellectualism_vs_voluntarism_w3x4y5z6,Intellectualism vs Voluntarism Debate
"John Duns Scotus, Ordinatio II d.25 q.unica",2,node,debate_intellectualism_vs_voluntarism_w3x4y5z6,Intellectualism vs Voluntarism Debate
"William of Ockham, Quodlibeta VII q.1",2,node,debate_intellectualism_vs_voluntarism_w3x4y5z6,Intellectualism vs Voluntarism Debate
"Augustine, De Libero Arbitrio III",2,node,debate_divine_foreknowledge_future_contingents_a7b8c9d0,Divine Foreknowledge and Future Contingents Debate
"Al-Ghazali, Tahafut al-Falasifa 17",2,node,debate_occasionalism_vs_secondary_causation_e1f2g3h4,Occasionalism vs Secondary Causation Debate
"Averroes, Tahafut al-Tahafut 4",2,node,debate_occasionalism_vs_secondary_causation_e1f2g3h4,Occasionalism vs Secondary Causation Debate
"Thomas Aquinas, Summa contra Gentiles III.70-72",2,node,debate_occasionalism_vs_secondary_causation_e1f2g3h4,Occasionalism vs Secondary Causation Debate
Commentaries on Summa Theologiae,2,node,person_luis_de_molina_expanded_3k7f8g46,Luis de Molina (expanded)
"Romans 6-8, John 8:34",2,node,concept_bondage_of_will_1c5x6y24,Bondage of the Will (Servum Arbitrium)
"Scotus, Ordinatio (on will's active indifference)",2,node,concept_libertas_indifferentiae_4f8a9b57,Liberty of Indifference (Libertas Indifferentiae)
"Descartes, Meditations IV",2,node,concept_libertas_indifferentiae_4f8a9b57,Liberty of Indifference (Libertas Indifferentiae)
"Leibniz, Theodicy §§44-50",2,node,concept_libertas_indifferentiae_4f8a9b57,Liberty of Indifference (Libertas Indifferentiae)
"Hobbes, Leviathan ch. 21",2,node,concept_libertas_spontaneitatis_5g9b0c68,Liberty of Spontaneity (Libertas Spontaneitatis)
"Leibniz, Theodicy §§34-37",2,node,concept_libertas_spontaneitatis_5g9b0c68,Liberty of Spontaneity (Libertas Spontaneitatis)
"Hume, Enquiry VIII",2,node,concept_libertas_spontaneitatis_5g9b0c68,Liberty of Spontaneity (Libertas Spontaneitatis)
"Kant, Critique of Pure Reason A533-558/B561-586 (Third Antinomy)",2,node,concept_transcendental_freedom_7i1d2e80,Transcendental Freedom
"Kant, Groundwork 446-463",2,node,concept_transcendental_freedom_7i1d2e80,Transcendental Freedom
"Kant, Critique of Practical Reason 5:94-106",2,node,concept_transcendental_freedom_7i1d2e80,Transcendental Freedom
"Kant, Groundwork 431-447",2,node,concept_autonomy_8j2e3f91,Autonomy
"Kant, Critique of Practical Reason 5:19-50",2,node,concept_autonomy_8j2e3f91,Autonomy
"Kant, Metaphysics of Morals 6:213-221",2,node,concept_autonomy_8j2e3f91,Autonomy
"Kant, Groundwork 421-445",2,node,concept_categorical_imperative_9k3f4g02,Categorical Imperative
"Kant, Critique of Practical Reason 5:19-89",2,node,concept_categorical_imperative_9k3f4g02,Categorical Imperative
"Spinoza, Ethics I (God), II (Mind), IV-V (Freedom)",2,node,argument_spinozan_necessitarianism_9u3p4q02,Spinoza's Necessitarian Argument
"Spinoza, Letter 58 (to Schuller on freedom)",2,node,argument_spinozan_necessitarianism_9u3p4q02,Spinoza's Necessitarian Argument
"Kant, Critique of Pure Reason A444-451/B472-479, A532-558/B560-586",2,node,argument_kantian_third_antinomy_6b0w1x79,Kant's Third Antinomy on Freedom
"van Inwagen, Peter. An Essay on Free Will. Oxford: Clarendon Press, 1983.",2,node,argument_consequence_argument_0n1o2p3q,Consequence Argument
"Frankfurt, Harry. “Alternate Possibilities and Moral Responsibility.” Journal of Philosophy 66 (1969): 829–839.",2,node,argument_frankfurt_cases_1o2p3q4r,Frankfurt Cases
"Kane, Robert. The Significance of Free Will. New York: Oxford University Press, 1996.",2,node,concept_self_forming_actions_4r5s6t7u,Self-Forming Actions (SFAs)
Echoes Aristotle's voluntary action requiring alternatives,2,node,concept_principle_alternative_possibilities_5s6t7u8v,Principle of Alternative Possibilities (PAP)
"Fischer, John Martin. The Metaphysics of Free Will. Oxford: Blackwell, 1994.",2,node,concept_semicompatibilism_6t7u8v9w,Semicompatibilism
"Strawson, P. F. “Freedom and Resentment.” Proceedings of the British Academy 48 (1962): 1-25.",2,node,concept_reactive_attitudes_7u8v9w0x,Reactive Attitudes
"Mele, Alfred R. Free Will and Luck. New York: Oxford University Press, 2006.",2,node,concept_bypassing_1y2z3a4b,Bypassing
"Cicero, De Fato (complete text, though with lacunae)",2,node,person_cicero_marcus_tullius_106_43bce_a8f3d2c1,Marcus Tullius Cicero
"Cicero, De Natura Deorum I-III",2,node,person_cicero_marcus_tullius_106_43bce_a8f3d2c1,Marcus Tullius Cicero
"Cicero, De Divinatione I-II",2,node,person_cicero_marcus_tullius_106_43bce_a8f3d2c1,Marcus Tullius Cicero
